portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,199747470000
Top-1,2010-05-21,2010-05-21 09:30:00,BUY,AAPL,6.9938,15658.831327,109515.51,182032563469
Top-1,2010-05-21,2010-05-21 09:30:00,SELL,MSFT,20.1511,5392.196600,108658.65,181672950000
Top-1,2016-01-07,2016-01-07 09:30:00,BUY,GOOGL,37.0984,9197.322914,341205.93,504432147843
Top-1,2016-01-07,2016-01-07 09:30:00,SELL,AAPL,22.2961,15658.831327,349131.08,501468174360
Top-1,2016-01-08,2016-01-08 09:30:00,BUY,AAPL,22.2716,15002.939811,334138.74,504229816440
Top-1,2016-01-08,2016-01-08 09:30:00,SELL,GOOGL,37.1649,9197.322914,341817.99,497584032885
Top-1,2016-01-27,2016-01-27 09:30:00,BUY,GOOGL,36.5747,8659.326947,316712.06,488544521139
Top-1,2016-01-27,2016-01-27 09:30:00,SELL,AAPL,21.6974,15002.939811,325524.68,485818869240
Top-1,2016-02-04,2016-02-04 09:30:00,BUY,AAPL,21.7765,14426.596785,314160.38,504920226960
Top-1,2016-02-04,2016-02-04 09:30:00,SELL,GOOGL,37.0056,8659.326947,320443.59,496899221389
Top-1,2016-05-06,2016-05-06 09:30:00,BUY,GOOGL,35.3939,8637.059157,305699.59,493612126209
Top-1,2016-05-06,2016-05-06 09:30:00,SELL,AAPL,21.3363,14426.596785,307809.68,487659963960
Top-1,2016-05-17,2016-05-17 09:30:00,BUY,AAPL,21.6169,14299.943139,309120.35,491802427080
Top-1,2016-05-17,2016-05-17 09:30:00,SELL,GOOGL,36.3267,8637.059157,313755.86,490188068729
Top-1,2016-07-25,2016-07-25 09:30:00,BUY,GOOGL,37.6500,8450.829611,318173.73,515663056375
Top-1,2016-07-25,2016-07-25 09:30:00,SELL,AAPL,22.4511,14299.943139,321049.59,512054469000
Top-1,2016-07-27,2016-07-27 09:30:00,BUY,AAPL,23.8317,13428.893658,320032.92,541511984520
Top-1,2016-07-27,2016-07-27 09:30:00,SELL,GOOGL,37.7209,8450.829611,318772.95,518676226957
Top-1,2018-12-12,2018-12-12 09:30:00,BUY,AMZN,83.4500,6481.915357,540915.84,798528000000
Top-1,2018-12-12,2018-12-12 09:30:00,SELL,AAPL,40.5849,13428.893658,545009.81,798410342240
Top-1,2018-12-13,2018-12-13 09:30:00,BUY,AAPL,40.6057,13236.584977,537480.42,807131805760
Top-1,2018-12-13,2018-12-13 09:30:00,SELL,AMZN,84.0000,6481.915357,544480.89,796032000000
Top-1,2019-01-02,2019-01-02 09:30:00,BUY,AMZN,73.2600,6797.165259,497960.33,749590400000
Top-1,2019-01-02,2019-01-02 09:30:00,SELL,AAPL,36.8958,13236.584977,488374.46,745685130960
Top-1,2019-02-04,2019-02-04 09:30:00,BUY,AAPL,39.8753,13921.513240,555124.49,808519311320
Top-1,2019-02-04,2019-02-04 09:30:00,SELL,AMZN,81.1500,6797.165259,551589.96,795465800000
Top-1,2019-05-13,2019-05-13 09:30:00,BUY,MSFT,117.0266,5305.625917,620899.49,895587000000
Top-1,2019-05-13,2019-05-13 09:30:00,SELL,AAPL,45.0803,13921.513240,627585.89,884039256800
Top-1,2019-07-31,2019-07-31 09:30:00,BUY,AAPL,51.9765,13164.925875,684266.57,1014068349280
Top-1,2019-07-31,2019-07-31 09:30:00,SELL,MSFT,132.8125,5305.625917,704653.47,989586810000
Top-1,2019-08-01,2019-08-01 09:30:00,BUY,MSFT,129.6667,5081.523177,658904.54,1002630910000
Top-1,2019-08-01,2019-08-01 09:30:00,SELL,AAPL,51.3658,13164.925875,676227.50,992066475400
Top-1,2019-08-20,2019-08-20 09:30:00,BUY,AAPL,50.8354,13028.841060,662325.73,1005148670680
Top-1,2019-08-20,2019-08-20 09:30:00,SELL,MSFT,131.2421,5081.523177,666909.80,1000098820000
Top-1,2019-08-23,2019-08-23 09:30:00,BUY,MSFT,130.2786,4885.369313,636458.89,971938910000
Top-1,2019-08-23,2019-08-23 09:30:00,SELL,AAPL,50.4893,13028.841060,657816.57,968280665800
Top-1,2019-09-06,2019-09-06 09:30:00,BUY,AAPL,51.5932,12507.627139,645308.43,1019023726280
Top-1,2019-09-06,2019-09-06 09:30:00,SELL,MSFT,132.9731,4885.369313,649622.86,1013526570000
Top-1,2019-09-30,2019-09-30 09:30:00,BUY,MSFT,131.0894,5151.345003,675286.79,1012989460000
Top-1,2019-09-30,2019-09-30 09:30:00,SELL,AAPL,53.2571,12507.627139,666120.55,997267430640
Top-1,2019-10-01,2019-10-01 09:30:00,BUY,AAPL,54.2557,12358.130328,670499.07,1000038131040
Top-1,2019-10-01,2019-10-01 09:30:00,SELL,MSFT,132.6194,5151.345003,683168.45,998717680000
Top-1,2019-10-02,2019-10-02 09:30:00,BUY,MSFT,129.3793,5041.471350,652262.12,981069780000
Top-1,2019-10-02,2019-10-02 09:30:00,SELL,AAPL,53.7731,12358.130328,664535.23,974917114080
Top-1,2019-10-04,2019-10-04 09:30:00,BUY,AAPL,54.3922,12156.887253,661239.38,1010751505920
Top-1,2019-10-04,2019-10-04 09:30:00,SELL,MSFT,129.8590,5041.471350,654680.61,1006390680000
Top-1,2020-03-30,2020-03-30 09:30:00,BUY,MSFT,145.6471,5154.989035,750809.36,1174659570000
Top-1,2020-03-30,2020-03-30 09:30:00,SELL,AAPL,60.7808,12156.887253,738904.84,1140789711360
Top-1,2020-04-13,2020-04-13 09:30:00,BUY,AAPL,65.0375,12533.676844,815158.42,1223356583280
Top-1,2020-04-13,2020-04-13 09:30:00,SELL,MSFT,157.0217,5154.989035,809445.26,1213331490000
Top-1,2020-04-16,2020-04-16 09:30:00,BUY,MSFT,166.5321,5229.260951,870839.87,1297887950000
Top-1,2020-04-16,2020-04-16 09:30:00,SELL,AAPL,69.6545,12533.676844,873026.99,1283388425280
Top-1,2020-04-28,2020-04-28 09:30:00,BUY,AAPL,69.0905,12279.485781,848395.30,1247184606720
Top-1,2020-04-28,2020-04-28 09:30:00,SELL,MSFT,167.7623,5229.260951,877273.01,1244867520000
Top-1,2020-04-29,2020-04-29 09:30:00,BUY,MSFT,165.4977,5173.779555,856248.54,1300726960000
Top-1,2020-04-29,2020-04-29 09:30:00,SELL,AAPL,69.0029,12279.485781,847320.61,1288006259280
Top-1,2020-04-30,2020-04-30 09:30:00,BUY,AAPL,70.2793,12604.775868,885854.54,1315343836560
Top-1,2020-04-30,2020-04-30 09:30:00,SELL,MSFT,171.9748,5173.779555,889759.59,1313771060000
Top-1,2021-11-11,2021-11-11 09:30:00,BUY,MSFT,321.0563,5698.243883,1829457.17,2431643400000
Top-1,2021-11-11,2021-11-11 09:30:00,SELL,AAPL,146.2099,12604.775868,1842942.72,2424022618080
Top-1,2021-11-15,2021-11-15 09:30:00,BUY,AAPL,147.5932,12575.324665,1856032.00,2458928276560
Top-1,2021-11-15,2021-11-15 09:30:00,SELL,MSFT,327.1447,5698.243883,1864150.45,2458208840000
Top-1,2021-11-16,2021-11-16 09:30:00,BUY,MSFT,325.3479,5728.602977,1863788.87,2483415820000
