Date,Time,Symbol,FMP_Adj_Open_Price,Yahoo_Adj_Open_Price,Price_Difference,Price_Pct_Difference,FMP_Shares_Outstanding,Yahoo_Shares_Outstanding,Shares_Difference,Shares_Pct_Difference
2023-01-06,19:42:41,AAPL,126.01,124.39859654565812,1.6114034543418825,1.2953550113006684,15892723000,14935799808,956923192,6.406909601770688
2023-01-06,19:42:43,MSFT,223.0,218.55914037652232,4.440859623477678,2.0318800741196164,7451000000,7432540160,18459840,0.2483651564958379
2023-01-06,19:42:45,GOOGL,86.79,86.27258888046856,0.5174111195314453,0.5997398782692415,12897000000,5820000256,7076999744,121.59792839706707
2023-01-09,19:42:46,AAPL,130.47,128.80157186038267,1.6684281396173333,1.295347654162065,15892723000,14935799808,956923192,6.406909601770688
2023-01-09,19:42:48,MSFT,226.45,221.9404359551807,4.509564044819285,2.031880322038279,7451000000,7432540160,18459840,0.2483651564958379
2023-01-09,19:42:49,GOOGL,88.36,87.83323916693293,0.5267608330670726,0.5997283466523743,12897000000,5820000256,7076999744,121.59792839706707
2023-01-16,19:42:50,AAPL,,133.10579321952497,,,15892723000,14935799808,956923192,6.406909601770688
2023-01-16,19:42:52,MSFT,,233.2310201495425,,,7451000000,7432540160,18459840,0.2483651564958379
2023-01-16,19:42:53,GOOGL,,91.51117960444924,,,12897000000,5820000256,7076999744,121.59792839706707
2023-01-24,19:42:54,AAPL,140.31,138.51573942626007,1.7942605737399333,1.2953477930896957,15892723000,14935799808,956923192,6.406909601770688
2023-01-24,19:42:56,MSFT,242.5,237.67081677077388,4.829183229226118,2.0318789217961557,7451000000,7432540160,18459840,0.2483651564958379
2023-01-24,19:42:57,GOOGL,98.1,97.51516294782407,0.5848370521759279,0.5997396040745454,12897000000,5820000256,7076999744,121.59792839706707
2023-02-09,19:42:58,AAPL,153.78,151.81346444457745,1.9665355554225528,1.2953630711329138,15892723000,14935799808,956923192,6.406909601770688
2023-02-09,19:43:00,MSFT,273.8,268.3474431140304,5.452556885969614,2.0319019338122137,7451000000,7432540160,18459840,0.2483651564958379
2023-02-09,19:43:01,GOOGL,100.0,99.40383763113448,0.5961623688655209,0.5997377798206813,12897000000,5820000256,7076999744,121.59792839706707
2023-02-14,19:43:03,AAPL,152.12,150.40399819813007,1.7160018018699361,1.1409283146910856,15892723000,14935799808,956923192,6.406909601770688
2023-02-14,19:43:04,MSFT,272.67,267.23998181637864,5.430018183621371,2.031888397355285,7451000000,7432540160,18459840,0.2483651564958379
2023-02-14,19:43:05,GOOGL,94.43,93.86704521275416,0.5629547872458431,0.5997363462010327,12897000000,5820000256,7076999744,121.59792839706707
2023-02-22,19:43:07,AAPL,148.87,147.19065212608928,1.6793478739107286,1.1409337819035774,15892723000,14935799808,956923192,6.406909601770688
2023-02-22,19:43:08,MSFT,254.09,249.65376172515425,4.436238274845749,1.7769563110888102,7451000000,7432540160,18459840,0.2483651564958379
2023-02-22,19:43:11,GOOGL,91.7,91.153327440584,0.5466725594160096,0.5997285834379927,12897000000,5820000256,7076999744,121.59792839706707
2023-03-07,19:43:12,AAPL,153.7,151.96617914925054,1.7338208507494528,1.1409254746390742,15892723000,14935799808,956923192,6.406909601770688
2023-03-07,19:43:13,MSFT,256.3,251.82514859412282,4.474851405877189,1.7769676423737546,7451000000,7432540160,18459840,0.2483651564958379
2023-03-07,19:43:15,GOOGL,94.98,94.41377902394467,0.5662209760553338,0.5997228179074711,12897000000,5820000256,7076999744,121.59792839706707
2023-03-13,19:43:16,AAPL,147.81,146.1426162263365,1.6673837736635164,1.1409291941791828,15892723000,14935799808,956923192,6.406909601770688
2023-03-13,19:43:19,MSFT,247.4,243.08054062729633,4.319459372703676,1.7769663345148203,7451000000,7432540160,18459840,0.2483651564958379
2023-03-13,19:43:20,GOOGL,90.09,89.55291768928547,0.5370823107145384,0.599737367104006,12897000000,5820000256,7076999744,121.59792839706707
2023-03-15,19:43:22,AAPL,151.19,149.48447760738804,1.7055223926119538,1.1409361158497042,15892723000,14935799808,956923192,6.406909601770688
2023-03-15,19:43:24,MSFT,259.98,255.44093925824916,4.539060741750859,1.7769511633222965,7451000000,7432540160,18459840,0.2483651564958379
2023-03-15,19:43:25,GOOGL,93.22,92.66425525614746,0.5557447438525429,0.5997401504132568,12897000000,5820000256,7076999744,121.59792839706707
2023-03-16,19:43:26,AAPL,152.16,150.443542077547,1.716457922453003,1.1409316071328903,15892723000,14935799808,956923192,6.406909601770688
2023-03-16,19:43:28,MSFT,265.21,260.57957486476903,4.630425135230951,1.7769716362588919,7451000000,7432540160,18459840,0.2483651564958379
2023-03-16,19:43:29,GOOGL,96.2,95.6264978570257,0.5735021429743057,0.5997314089989654,12897000000,5820000256,7076999744,121.59792839706707
2023-03-20,19:43:30,AAPL,155.07,153.3207323821306,1.7492676178694069,1.1409204682831808,15892723000,14935799808,956923192,6.406909601770688
2023-03-20,19:43:32,MSFT,276.98,272.14408779839806,4.835912201601957,1.7769675765230506,7451000000,7432540160,18459840,0.2483651564958379
2023-03-20,19:43:33,GOOGL,100.12,99.52312877998469,0.5968712200153163,0.5997311653402867,12897000000,5820000256,7076999744,121.59792839706707
2023-03-27,19:43:34,AAPL,159.94,158.13580009435265,1.8041999056473514,1.1409180619258037,15892723000,14935799808,956923192,6.406909601770688
2023-03-27,19:43:36,MSFT,280.5,275.6026896941617,4.897310305838289,1.7769457588650057,7451000000,7432540160,18459840,0.2483651564958379
2023-03-27,19:43:37,GOOGL,104.62,103.99630110372327,0.6236988962767356,0.5997318074367608,12897000000,5820000256,7076999744,121.59792839706707
2023-03-29,19:43:38,AAPL,159.37,157.5722198233599,1.7977801766401171,1.1409245732880122,15892723000,14935799808,956923192,6.406909601770688
2023-03-29,19:43:40,MSFT,278.96,274.08953179203525,4.870468207964734,1.7769625042302566,7451000000,7432540160,18459840,0.2483651564958379
2023-03-29,19:43:41,GOOGL,102.28,101.67023885327414,0.6097611467258588,0.5997439895915248,12897000000,5820000256,7076999744,121.59792839706707
2023-03-31,19:43:42,AAPL,162.44,160.60756909681194,1.8324309031880546,1.1409368272571834,15892723000,14935799808,956923192,6.406909601770688
2023-03-31,19:43:44,MSFT,283.73,278.77626112609994,4.953738873900079,1.7769586455782673,7441000000,7432540160,8459840,0.11382165205818409
2023-03-31,19:43:45,GOOGL,101.3,100.69608925653168,0.6039107434683189,0.5997360452895106,12823003000,5820000256,7003002744,120.32650233615385
2023-04-06,19:43:46,AAPL,162.43,160.59766588857192,1.8323341114280822,1.1409469130761947,15787154000,14935799808,851354192,5.700091076100208
2023-04-06,19:43:48,MSFT,283.21,278.2652902835456,4.944709716454383,1.7769768235973105,7441000000,7432540160,8459840,0.11382165205818409
2023-04-06,19:43:50,GOOGL,105.26,104.63247862837939,0.6275213716206167,0.5997386087443929,12823003000,5820000256,7003002744,120.32650233615385
2023-04-11,19:43:51,AAPL,162.35,160.5186020856557,1.8313979143443078,1.1409256563093166,15787154000,14935799808,851354192,5.700091076100208
2023-04-11,19:43:52,MSFT,285.75,280.76103058954936,4.988969410450636,1.7769451123521907,7441000000,7432540160,8459840,0.11382165205818409
2023-04-11,19:43:54,GOOGL,106.55,105.91480509476865,0.6351949052313444,0.5997224889032231,12823003000,5820000256,7003002744,120.32650233615385
2023-04-21,19:43:55,AAPL,165.05,163.1881534195007,1.8618465804993036,1.1409201841466612,15787154000,14935799808,851354192,5.700091076100208
2023-04-21,19:43:56,MSFT,285.01,280.03393797172913,4.97606202827086,1.7769496312883402,7441000000,7432540160,8459840,0.11382165205818409
2023-04-21,19:43:58,GOOGL,105.47,104.84123320100569,0.628766798994306,0.599732357009584,12823003000,5820000256,7003002744,120.32650233615385
2023-04-24,19:43:59,AAPL,165.0,163.1386866366401,1.8613133633598977,1.140939284074055,15787154000,14935799808,851354192,5.700091076100208
2023-04-24,19:44:00,MSFT,282.09,277.16488406665934,4.925115933340635,1.7769624568154614,7441000000,7432540160,8459840,0.11382165205818409
2023-04-24,19:44:02,GOOGL,105.49,104.86111503814251,0.6288849618574801,0.5997313318943132,12823003000,5820000256,7003002744,120.32650233615385
2023-04-25,19:44:03,AAPL,165.19,163.3265412208214,1.8634587791785862,1.140940575395609,15787154000,14935799808,851354192,5.700091076100208
2023-04-25,19:44:05,MSFT,279.51,274.6299462973571,4.880053702642897,1.7769561435077412,7441000000,7432540160,8459840,0.11382165205818409
2023-04-25,19:44:06,GOOGL,105.83,105.19908777458112,0.6309122254188821,0.5997316504975695,12823003000,5820000256,7003002744,120.32650233615385
2023-04-26,19:44:07,AAPL,163.06,161.22060381553294,1.8393961844670628,1.140918803760146,15787154000,14935799808,851354192,5.700091076100208
2023-04-26,19:44:09,MSFT,296.7,291.5198084868981,5.1801915131018745,1.7769603856386622,7441000000,7432540160,8459840,0.11382165205818409
