portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2009-01-02,2009-01-02 09:30:00,BUY,MSFT,14.3137,6986.326320,100000.00,133517954550
Top-1,2010-05-26,2010-05-26 09:30:00,BUY,AAPL,7.5168,17594.156351,132251.16,187952773901
Top-1,2010-05-26,2010-05-26 09:30:00,SELL,MSFT,19.8534,6986.326320,138702.43,177588793902
Top-1,2016-02-02,2016-02-02 09:30:00,BUY,GOOGL,39.7840,9441.872504,375635.24,544890495356
Top-1,2016-02-02,2016-02-02 09:30:00,SELL,AAPL,21.5669,17594.156351,379452.02,496334622359
Top-1,2016-03-04,2016-03-04 09:30:00,BUY,AAPL,23.2546,14734.526699,342645.55,535174060633
Top-1,2016-03-04,2016-03-04 09:30:00,SELL,GOOGL,36.5186,9441.872504,344804.10,500167334667
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,6566.558149,499058.42,740240000000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,14734.526699,505235.23,679663785930
Top-1,2019-03-11,2019-03-11 09:30:00,BUY,AAPL,41.9771,13066.755673,548504.60,832049563941
Top-1,2019-03-11,2019-03-11 09:30:00,SELL,AMZN,81.3100,6566.558149,533926.84,791959400000
Top-1,2019-05-17,2019-05-17 09:30:00,BUY,MSFT,121.4371,4884.008450,593100.04,935066012884
Top-1,2019-05-17,2019-05-17 09:30:00,SELL,AAPL,44.8905,13066.755673,586572.80,889796807082
Top-1,2019-09-11,2019-09-11 09:30:00,BUY,AAPL,52.5694,12009.025133,631306.93,1042004264956
Top-1,2019-09-11,2019-09-11 09:30:00,SELL,MSFT,129.0606,4884.008450,630332.98,990281855729
Top-1,2024-02-02,2024-02-02 09:30:00,BUY,MSFT,399.2733,5549.245123,2215665.14,2972988621944
Top-1,2024-02-02,2024-02-02 09:30:00,SELL,AAPL,178.5535,12009.025133,2144253.60,2811187721406
Top-1,2024-07-10,2024-07-10 09:30:00,BUY,AAPL,228.2371,11249.863322,2567635.72,3593416979263
Top-1,2024-07-10,2024-07-10 09:30:00,SELL,MSFT,457.7083,5549.245123,2539935.54,3401230363354
Top-1,2024-11-07,2024-11-07 09:30:00,BUY,NVDA,146.3605,17423.546567,2550119.02,3613640788118
Top-1,2024-11-07,2024-11-07 09:30:00,SELL,AAPL,223.8400,11249.863322,2518169.66,3434552737466
Top-1,2024-11-26,2024-11-26 09:30:00,BUY,AAPL,232.7642,10246.890801,2385109.29,3571483299771
Top-1,2024-11-26,2024-11-26 09:30:00,SELL,NVDA,137.6698,17423.546567,2398696.68,3399068080412
Top-1,2025-01-22,2025-01-22 09:30:00,BUY,NVDA,144.6403,15818.743519,2288028.25,3571169691779
Top-1,2025-01-22,2025-01-22 09:30:00,SELL,AAPL,219.2597,10246.890801,2246730.68,3364273973735
Top-1,2025-01-27,2025-01-27 09:30:00,BUY,AAPL,223.4840,8380.642251,1872939.23,3429089596785
Top-1,2025-01-27,2025-01-27 09:30:00,SELL,NVDA,124.7789,15818.743519,1973845.77,3063946441479
Top-10,2009-01-02,2009-01-02 09:30:00,BUY,MSFT,14.3137,698.632632,10000.00,133517954550
Top-10,2009-01-02,2009-01-02 09:30:00,BUY,JNJ,36.8513,271.360756,10000.00,103622205474
