Date,Time,Symbol,FMP_Adj_Open_Price,Yahoo_Adj_Open_Price,Price_Difference,Price_Pct_Difference,FMP_Shares_Outstanding,Yahoo_Shares_Outstanding,Shares_Difference,Shares_Pct_Difference
2006-12-29,19:24:24,AAPL,3.0,,,,,,,
2006-12-29,19:24:26,MSFT,29.86,,,,,,,
2006-12-29,19:24:28,GOOGL,11.56,,,,,,,
2006-12-29,19:24:29,AMZN,2.0,,,,,,,
2006-12-29,19:24:30,TSLA,,,,,,3220960000.0,,
2006-12-29,19:24:32,META,,,,,,2171150080.0,,
2006-12-29,19:24:33,NFLX,3.7229,,,,,,,
2006-12-29,19:24:34,NVDA,0.62067,,,,,,,
2006-12-29,19:24:35,ADBE,41.36,,,,,,,
2006-12-29,19:24:37,INTC,20.34,,,,,,,
2006-12-29,19:24:38,AMD,20.5,,,,,,,
2006-12-29,19:24:40,CSCO,27.33,,,,,,,
2006-12-29,19:24:41,ORCL,17.12,,,,,,,
2006-12-29,19:24:42,CRM,9.18,,,,,,,
2006-12-29,19:24:44,PYPL,,,,,,972532992.0,,
2011-01-31,19:24:45,AAPL,11.99,,,,,,,
2011-01-31,19:24:46,MSFT,27.77,,,,,,,
2011-01-31,19:24:47,GOOGL,15.1,,,,,,,
2011-01-31,19:24:48,AMZN,8.51,,,,,,,
2011-01-31,19:24:49,TSLA,1.6,,,,,,,
2011-01-31,19:24:51,META,,,,,,2171150080.0,,
2011-01-31,19:24:52,NFLX,30.4429,,,,,,,
2011-01-31,19:24:55,NVDA,0.595,,,,,,,
2011-01-31,19:24:56,ADBE,32.6,,,,,,,
2011-01-31,19:24:57,INTC,21.55,,,,,,,
2011-01-31,19:24:58,AMD,7.55,,,,,,,
2011-01-31,19:24:59,CSCO,20.93,,,,,,,
2011-01-31,19:25:00,ORCL,31.95,,,,,,,
2011-01-31,19:25:02,CRM,32.96,,,,,,,
2011-01-31,19:25:04,PYPL,,,,,,972532992.0,,
2012-03-21,19:25:05,AAPL,21.53,,,,,,,
2012-03-21,19:25:06,MSFT,31.96,,,,,,,
2012-03-21,19:25:07,GOOGL,15.88,,,,,,,
2012-03-21,19:25:08,AMZN,9.63,,,,,,,
2012-03-21,19:25:09,TSLA,2.33,,,,,,,
2012-03-21,19:25:11,META,,,,,,2171150080.0,,
2012-03-21,19:25:12,NFLX,16.5714,,,,,,,
2012-03-21,19:25:13,NVDA,0.36,,,,,,,
2012-03-21,19:25:14,ADBE,33.1,,,,,,,
2012-03-21,19:25:15,INTC,27.79,,,,,,,
2012-03-21,19:25:16,AMD,8.09,,,,,,,
2012-03-21,19:25:17,CSCO,20.56,,,,,,,
2012-03-21,19:25:18,ORCL,30.87,,,,,,,
2012-03-21,19:25:19,CRM,38.11,,,,,,,
2012-03-21,19:25:21,PYPL,,,,,,972532992.0,,
2012-11-20,19:25:22,AAPL,20.43,,,,,,,
2012-11-20,19:25:23,MSFT,26.76,,,,,,,
2012-11-20,19:25:24,GOOGL,16.75,,,,,,,
2012-11-20,19:25:25,AMZN,11.5,,,,,,,
2012-11-20,19:25:26,TSLA,2.19,,,,,,,
2012-11-20,19:25:27,META,22.73,,,,,,,
2012-11-20,19:25:28,NFLX,11.6443,,,,,,,
2012-11-20,19:25:29,NVDA,0.2895,,,,,,,
2012-11-20,19:25:30,ADBE,32.8,,,,,,,
2012-11-20,19:25:31,INTC,19.88,,,,,,,
2012-11-20,19:25:32,AMD,1.92,,,,,,,
2012-11-20,19:25:33,CSCO,18.29,,,,,,,
2012-11-20,19:25:34,ORCL,30.02,,,,,,,
2012-11-20,19:25:35,CRM,36.84,,,,,,,
2012-11-20,19:25:37,PYPL,,,,,,972532992.0,,
2020-06-26,19:25:38,AAPL,91.1,,,,,,,
2020-06-26,19:25:39,MSFT,199.73,,,,,,,
2020-06-26,19:25:40,GOOGL,71.63,,,,,,,
2020-06-26,19:25:41,AMZN,138.75,,,,,,,
2020-06-26,19:25:42,TSLA,66.32,,,,,,,
2020-06-26,19:25:43,META,232.64,,,,,,,
2020-06-26,19:25:44,NFLX,466.39,,,,,,,
2020-06-26,19:25:45,NVDA,9.5,,,,,,,
2020-06-26,19:25:46,ADBE,436.0,,,,,,,
2020-06-26,19:25:47,INTC,58.49,,,,,,,
2020-06-26,19:25:48,AMD,51.85,,,,,,,
2020-06-26,19:25:49,CSCO,45.12,,,,,,,
2020-06-26,19:25:50,ORCL,54.35,,,,,,,
2020-06-26,19:25:51,CRM,188.0,,,,,,,
2020-06-26,19:25:52,PYPL,173.71,,,,,,,


SUMMARY STATISTICS
Metric,Value
DATA AVAILABILITY,
Total Attempted Comparisons,75
FMP Price Data Available,67 (89.3%)
Yahoo Price Data Available,0 (0.0%)
FMP Shares Data Available,0 (0.0%)
Yahoo Shares Data Available,8 (10.7%)
