portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,200345069013
Top-1,2010-05-24,2010-05-24 09:30:00,BUY,AAPL,7.4368,14414.294730,107196.87,185954377407
Top-1,2010-05-24,2010-05-24 09:30:00,SELL,MSFT,20.3189,5392.196600,109563.61,181752729730
Top-1,2016-01-28,2016-01-28 09:30:00,BUY,GOOGL,36.6831,8353.918185,306447.91,502420646754
Top-1,2016-01-28,2016-01-28 09:30:00,SELL,AAPL,21.1967,14414.294730,305535.86,487814758382
Top-1,2016-02-05,2016-02-05 09:30:00,BUY,AAPL,21.9233,13329.199915,292220.06,504535915078
Top-1,2016-02-05,2016-02-05 09:30:00,SELL,GOOGL,36.0635,8353.918185,301271.49,493933923392
Top-1,2016-05-11,2016-05-11 09:30:00,BUY,GOOGL,36.8070,7655.591929,281779.29,504116980833
Top-1,2016-05-11,2016-05-11 09:30:00,SELL,AAPL,21.3594,13329.199915,284703.07,491557365672
Top-1,2016-05-20,2016-05-20 09:30:00,BUY,AAPL,21.6229,12699.771782,274606.08,497622927025
Top-1,2016-05-20,2016-05-20 09:30:00,SELL,GOOGL,35.6016,7655.591929,272551.67,487608327469
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,5659.753556,430141.27,740240000000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,12699.771782,435465.10,679663785930
Top-1,2019-02-07,2019-02-07 09:30:00,BUY,AAPL,41.0630,11125.720684,456855.31,813930295467
Top-1,2019-02-07,2019-02-07 09:30:00,SELL,AMZN,81.2500,5659.753556,459854.98,791375000000
Top-1,2019-05-15,2019-05-15 09:30:00,BUY,MSFT,117.6043,4337.549054,510114.29,905552884780
Top-1,2019-05-15,2019-05-15 09:30:00,SELL,AAPL,44.7357,11125.720684,497716.80,886728843990
Top-1,2019-08-01,2019-08-01 09:30:00,BUY,AAPL,51.3658,11034.327842,566787.53,1018148438004
Top-1,2019-08-01,2019-08-01 09:30:00,SELL,MSFT,129.6667,4337.549054,562435.84,994932889106
Top-1,2019-08-02,2019-08-02 09:30:00,BUY,MSFT,130.6963,4136.935245,540682.06,1002832588275
Top-1,2019-08-02,2019-08-02 09:30:00,SELL,AAPL,49.3554,11034.327842,544603.89,978298862399
Top-1,2019-09-10,2019-09-10 09:30:00,BUY,AAPL,51.5554,10368.933949,534574.77,1021906222801
Top-1,2019-09-10,2019-09-10 09:30:00,SELL,MSFT,129.9037,4136.935245,537403.21,996751118519
Top-1,2019-09-30,2019-09-30 09:30:00,BUY,MSFT,131.0894,4270.510744,559818.74,1005849061016
Top-1,2019-09-30,2019-09-30 09:30:00,SELL,AAPL,53.2571,10368.933949,552219.85,983730669660
Top-1,2019-10-14,2019-10-14 09:30:00,BUY,AAPL,56.6286,9993.681807,565928.08,1046005665391
Top-1,2019-10-14,2019-10-14 09:30:00,SELL,MSFT,132.6529,4270.510744,566495.84,1017846064869
Top-1,2020-03-31,2020-03-31 09:30:00,BUY,MSFT,152.2947,4044.203387,615910.61,1168556983172
Top-1,2020-03-31,2020-03-31 09:30:00,SELL,AAPL,61.9499,9993.681807,619107.88,1144297957649
Top-1,2020-05-11,2020-05-11 09:30:00,BUY,AAPL,74.8781,9636.559186,721566.77,1383097635235
Top-1,2020-05-11,2020-05-11 09:30:00,SELL,MSFT,174.9899,4044.203387,707694.94,1342697875544
Top-1,2024-01-31,2024-01-31 09:30:00,BUY,MSFT,402.3948,4383.925011,1764068.52,2996231505054
Top-1,2024-01-31,2024-01-31 09:30:00,SELL,AAPL,185.6808,9636.559186,1789324.17,2923401653362
Top-1,2024-06-13,2024-06-13 09:30:00,BUY,AAPL,213.7377,8988.231475,1921123.62,3365135189562
Top-1,2024-06-13,2024-06-13 09:30:00,SELL,MSFT,437.4956,4383.925011,1917947.70,3257591899547
Top-1,2024-06-20,2024-06-20 09:30:00,BUY,NVDA,139.7572,13422.158975,1875843.91,3450606284447
Top-1,2024-06-20,2024-06-20 09:30:00,SELL,AAPL,212.9301,8988.231475,1913865.35,3352421254317
Top-1,2024-06-21,2024-06-21 09:30:00,BUY,MSFT,443.9782,3825.200399,1698305.78,3305862041471
Top-1,2024-06-21,2024-06-21 09:30:00,SELL,NVDA,127.0798,13422.158975,1705685.63,3137600908462
Top-1,2024-07-03,2024-07-03 09:30:00,BUY,AAPL,218.9772,7987.640203,1749111.13,3447627715759
Top-1,2024-07-03,2024-07-03 09:30:00,SELL,MSFT,454.6997,3825.200399,1739317.30,3378873126075
Top-1,2024-11-06,2024-11-06 09:30:00,BUY,NVDA,142.9305,12403.065101,1772776.87,3528955180221
Top-1,2024-11-06,2024-11-06 09:30:00,SELL,AAPL,221.8304,7987.640203,1771901.30,3403717293884
Top-1,2024-11-26,2024-11-26 09:30:00,BUY,AAPL,232.7642,7294.315953,1697855.58,3571483299771
Top-1,2024-11-26,2024-11-26 09:30:00,SELL,NVDA,137.6698,12403.065101,1707527.85,3399068080412
Top-1,2025-01-22,2025-01-22 09:30:00,BUY,NVDA,144.6403,11260.675599,1628747.81,3571169691779
Top-1,2025-01-22,2025-01-22 09:30:00,SELL,AAPL,219.2597,7294.315953,1599349.87,3364273973735
Top-1,2025-01-27,2025-01-27 09:30:00,BUY,AAPL,223.4840,5965.814768,1333263.99,3429089596785
Top-1,2025-01-27,2025-01-27 09:30:00,SELL,NVDA,124.7789,11260.675599,1405094.97,3063946441479
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,539.219660,10000.00,200345069013
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,JNJ,35.2605,283.603715,10000.00,104656598034
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,AIG,687.6288,14.542729,10000.00,89598036720
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,INTC,13.6638,731.860054,10000.00,87448412657
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,CSCO,12.7054,787.065403,10000.00,86905103106
