portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,199747470000
Top-1,2010-05-24,2010-05-24 09:30:00,BUY,AAPL,7.4368,14414.294730,107196.87,185533189690
Top-1,2010-05-24,2010-05-24 09:30:00,SELL,MSFT,20.3189,5392.196600,109563.61,177826600000
Top-1,2016-01-28,2016-01-28 09:30:00,BUY,GOOGL,36.6831,8353.918185,306447.91,509362790613
Top-1,2016-01-28,2016-01-28 09:30:00,SELL,AAPL,21.1967,14414.294730,305535.86,489270921840
Top-1,2016-02-05,2016-02-05 09:30:00,BUY,AAPL,21.9233,13329.199915,292220.06,491572290240
Top-1,2016-02-05,2016-02-05 09:30:00,SELL,GOOGL,36.0635,8353.918185,301271.49,479094122497
Top-1,2016-05-10,2016-05-10 09:30:00,BUY,GOOGL,36.5313,7789.986854,284578.42,503336449450
Top-1,2016-05-10,2016-05-10 09:30:00,SELL,AAPL,21.3226,13329.199915,284212.95,491342153400
Top-1,2016-05-23,2016-05-23 09:30:00,BUY,AAPL,21.9120,12674.004153,277713.03,507221595360
Top-1,2016-05-23,2016-05-23 09:30:00,SELL,GOOGL,35.7892,7789.986854,278797.24,488270596541
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,5648.270009,429268.52,730597400000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,12674.004153,434581.55,671354475960
Top-1,2019-02-06,2019-02-06 09:30:00,BUY,AAPL,41.6053,11133.550099,463214.62,822790797080
Top-1,2019-02-06,2019-02-06 09:30:00,SELL,AMZN,83.5400,5648.270009,471856.48,798777400000
Top-1,2019-05-16,2019-05-16 09:30:00,BUY,MSFT,119.9568,4236.911997,508246.56,939554000000
Top-1,2019-05-16,2019-05-16 09:30:00,SELL,AAPL,45.6116,11133.550099,507818.75,904851840200
Top-1,2019-07-31,2019-07-31 09:30:00,BUY,AAPL,51.9765,10513.110660,546434.54,1014068349280
Top-1,2019-07-31,2019-07-31 09:30:00,SELL,MSFT,132.8125,4236.911997,562714.90,989586810000
Top-1,2019-08-02,2019-08-02 09:30:00,BUY,MSFT,130.6963,3941.523094,515142.42,994190610000
Top-1,2019-08-02,2019-08-02 09:30:00,SELL,AAPL,49.3554,10513.110660,518879.00,971253892000
Top-1,2019-09-09,2019-09-09 09:30:00,BUY,AAPL,51.7939,9937.910629,514723.50,1023384458040
Top-1,2019-09-09,2019-09-09 09:30:00,SELL,MSFT,132.5557,3941.523094,522471.30,1002017070000
Top-1,2020-03-30,2020-03-30 09:30:00,BUY,MSFT,145.6471,4214.057370,613765.36,1174659570000
Top-1,2020-03-30,2020-03-30 09:30:00,SELL,AAPL,60.7808,9937.910629,604033.76,1140789711360
Top-1,2020-05-08,2020-05-08 09:30:00,BUY,AAPL,74.2812,10010.209700,743570.42,1392184594320
Top-1,2020-05-08,2020-05-08 09:30:00,SELL,MSFT,176.7366,4214.057370,744778.30,1353900850000
Top-1,2024-01-30,2024-01-30 09:30:00,BUY,MSFT,407.6288,4584.087220,1868605.84,3008184000000
Top-1,2024-01-30,2024-01-30 09:30:00,SELL,AAPL,189.5489,10010.209700,1897423.95,2938975600770
Top-1,2024-06-12,2024-06-12 09:30:00,BUY,AAPL,206.4065,9720.891199,2006454.98,3339036510480
Top-1,2024-06-12,2024-06-12 09:30:00,SELL,MSFT,432.0037,4584.087220,1980342.77,3259114200000
Top-1,2024-06-21,2024-06-21 09:30:00,BUY,MSFT,443.9782,4521.749557,2007558.45,3323596560000
Top-1,2024-06-21,2024-06-21 09:30:00,SELL,AAPL,209.4064,9720.891199,2035617.25,3251498586120
Top-1,2024-07-03,2024-07-03 09:30:00,BUY,AAPL,218.9772,9442.148065,2067615.20,3471917820120
Top-1,2024-07-03,2024-07-03 09:30:00,SELL,MSFT,454.6997,4521.749557,2056037.96,3397899060000
Top-1,2024-11-06,2024-11-06 09:30:00,BUY,NVDA,142.9305,14661.598941,2095590.34,3594370200000
Top-1,2024-11-06,2024-11-06 09:30:00,SELL,AAPL,221.8304,9442.148065,2094555.34,3405399199020
