portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,145.581598,100000.00,89503070000
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,14.558160,10000.00,89503070000
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,AMGN,44.4500,224.971879,10000.00,56495950000
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,ABT,13.9100,718.907261,10000.00,21707347870
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,ALL,31.0100,322.476620,10000.00,21570556000
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,AMX,5.6900,1757.469244,10000.00,20966512000
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,AMAT,12.2200,818.330606,10000.00,20628838620
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,AAPL,0.9511,10514.583728,10000.00,19790665373
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,AMZN,2.2300,4484.304933,10000.00,18107600000
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,ADBE,30.8389,324.265266,10000.00,14730470701
Top-10,2005-01-03,2005-01-03 00:00:00,BUY,AFL,12.4500,803.212851,10000.00,12632591700
Top-2,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,72.790799,50000.00,89503070000
Top-2,2005-01-03,2005-01-03 00:00:00,BUY,AMGN,44.4500,1124.859393,50000.00,56495950000
Top-3,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,48.527199,33333.33,89503070000
Top-3,2005-01-03,2005-01-03 00:00:00,BUY,AMGN,44.4500,749.906262,33333.33,56495950000
Top-3,2005-01-03,2005-01-03 00:00:00,BUY,ABT,13.9100,2396.357537,33333.33,21707347870
Top-4,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,36.395400,25000.00,89503070000
Top-4,2005-01-03,2005-01-03 00:00:00,BUY,AMGN,44.4500,562.429696,25000.00,56495950000
Top-4,2005-01-03,2005-01-03 00:00:00,BUY,ABT,13.9100,1797.268152,25000.00,21707347870
Top-4,2005-01-03,2005-01-03 00:00:00,BUY,ALL,31.0100,806.191551,25000.00,21570556000
Top-5,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,29.116320,20000.00,89503070000
Top-5,2005-01-03,2005-01-03 00:00:00,BUY,AMGN,44.4500,449.943757,20000.00,56495950000
Top-5,2005-01-03,2005-01-03 00:00:00,BUY,ABT,13.9100,1437.814522,20000.00,21707347870
Top-5,2005-01-03,2005-01-03 00:00:00,BUY,ALL,31.0100,644.953241,20000.00,21570556000
Top-5,2005-01-03,2005-01-03 00:00:00,BUY,AMX,5.6900,3514.938489,20000.00,20966512000
Top-6,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,24.263600,16666.67,89503070000
Top-6,2005-01-03,2005-01-03 00:00:00,BUY,AMGN,44.4500,374.953131,16666.67,56495950000
Top-6,2005-01-03,2005-01-03 00:00:00,BUY,ABT,13.9100,1198.178768,16666.67,21707347870
Top-6,2005-01-03,2005-01-03 00:00:00,BUY,ALL,31.0100,537.461034,16666.67,21570556000
Top-6,2005-01-03,2005-01-03 00:00:00,BUY,AMX,5.6900,2929.115407,16666.67,20966512000
Top-6,2005-01-03,2005-01-03 00:00:00,BUY,AMAT,12.2200,1363.884343,16666.67,20628838620
Top-7,2005-01-03,2005-01-03 00:00:00,BUY,AIG,686.9000,20.797371,14285.71,89503070000
Top-7,2005-01-03,2005-01-03 00:00:00,BUY,AMGN,44.4500,321.388398,14285.71,56495950000
Top-7,2005-01-03,2005-01-03 00:00:00,BUY,ABT,13.9100,1027.010373,14285.71,21707347870
