portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,200345069013
Top-1,2010-05-13,2010-05-13 09:30:00,BUY,AAPL,7.9029,15031.154596,118790.09,197608480910
Top-1,2010-05-13,2010-05-13 09:30:00,SELL,MSFT,22.0451,5392.196600,118871.34,197193136833
Top-1,2010-05-14,2010-05-14 09:30:00,BUY,MSFT,22.0035,5212.258763,114687.71,196820919461
Top-1,2010-05-14,2010-05-14 09:30:00,SELL,AAPL,7.6721,15031.154596,115320.64,191837021565
Top-1,2010-05-24,2010-05-24 09:30:00,BUY,AAPL,7.4368,13933.289081,103619.70,185954377407
Top-1,2010-05-24,2010-05-24 09:30:00,SELL,MSFT,20.3189,5212.258763,105907.46,181752729730
Top-1,2016-01-27,2016-01-27 09:30:00,BUY,GOOGL,36.5747,8041.950919,294131.73,500935143052
Top-1,2016-01-27,2016-01-27 09:30:00,SELL,AAPL,21.6974,13933.289081,302316.05,499336945653
Top-1,2016-02-05,2016-02-05 09:30:00,BUY,AAPL,21.9233,12831.436594,281307.44,504535915078
Top-1,2016-02-05,2016-02-05 09:30:00,SELL,GOOGL,36.0635,8041.950919,290020.86,493933923392
Top-1,2016-05-09,2016-05-09 09:30:00,BUY,GOOGL,36.1207,7534.587888,272154.77,494717741784
Top-1,2016-05-09,2016-05-09 09:30:00,SELL,AAPL,21.2557,12831.436594,272741.31,489172220911
Top-1,2016-05-18,2016-05-18 09:30:00,BUY,AAPL,21.5186,12559.638129,270265.67,495221964577
Top-1,2016-05-18,2016-05-18 09:30:00,SELL,GOOGL,35.7010,7534.587888,268992.60,488969601415
Top-1,2016-07-26,2016-07-26 09:30:00,BUY,GOOGL,37.6600,7367.031500,277442.41,515800018674
Top-1,2016-07-26,2016-07-26 09:30:00,SELL,AAPL,22.1266,12559.638129,277901.56,509213607288
Top-1,2016-07-27,2016-07-27 09:30:00,BUY,AAPL,23.8317,11706.671077,278989.48,548454445860
Top-1,2016-07-27,2016-07-27 09:30:00,SELL,GOOGL,37.7209,7367.031500,277891.10,516634194567
Top-1,2018-01-30,2018-01-30 09:30:00,BUY,GOOGL,58.5399,7837.126262,458784.44,811419461301
Top-1,2018-01-30,2018-01-30 09:30:00,SELL,AAPL,38.8520,11706.671077,454827.51,810801004743
Top-1,2018-01-31,2018-01-31 09:30:00,BUY,AAPL,39.1586,11760.113851,460509.54,817199472611
Top-1,2018-01-31,2018-01-31 09:30:00,SELL,GOOGL,58.8395,7837.126262,461132.80,815572834228
Top-1,2018-12-10,2018-12-10 09:30:00,BUY,AMZN,81.1900,5851.811794,475108.60,779424000000
Top-1,2018-12-10,2018-12-10 09:30:00,SELL,AAPL,39.3042,11760.113851,462222.40,779069412311
Top-1,2018-12-11,2018-12-11 09:30:00,BUY,AAPL,40.8941,11756.819150,480784.86,810583268154
Top-1,2018-12-11,2018-12-11 09:30:00,SELL,AMZN,83.9000,5851.811794,490967.01,805440000000
Top-1,2018-12-13,2018-12-13 09:30:00,BUY,AMZN,84.0000,5699.258045,478737.68,806400000000
Top-1,2018-12-13,2018-12-13 09:30:00,SELL,AAPL,40.6057,11756.819150,477393.54,804865642524
Top-1,2018-12-14,2018-12-14 09:30:00,BUY,AAPL,40.2585,11268.693754,453660.94,797984589472
Top-1,2018-12-14,2018-12-14 09:30:00,SELL,AMZN,81.9000,5699.258045,466769.23,786240000000
Top-1,2018-12-24,2018-12-24 09:30:00,BUY,MSFT,91.7131,4297.954287,394178.91,706191221502
Top-1,2018-12-24,2018-12-24 09:30:00,SELL,AAPL,35.2944,11268.693754,397722.33,699589190904
Top-1,2018-12-26,2018-12-26 09:30:00,BUY,AAPL,35.3341,11485.033106,405812.84,700374344184
Top-1,2018-12-26,2018-12-26 09:30:00,SELL,MSFT,89.3309,4297.954287,383940.27,687848197693
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,5118.395675,388998.07,740240000000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,11485.033106,393812.67,679663785930
Top-1,2019-02-05,2019-02-05 09:30:00,BUY,AAPL,41.1756,10309.980616,424519.74,816162675965
Top-1,2019-02-05,2019-02-05 09:30:00,SELL,AMZN,82.1700,5118.395675,420578.57,800335800000
Top-1,2019-05-13,2019-05-13 09:30:00,BUY,MSFT,117.0266,3929.235236,459825.14,901105006648
Top-1,2019-05-13,2019-05-13 09:30:00,SELL,AAPL,45.0803,10309.980616,464776.95,893559386638
Top-1,2019-07-31,2019-07-31 09:30:00,BUY,AAPL,51.9765,9749.667887,506753.47,1030252316552
Top-1,2019-07-31,2019-07-31 09:30:00,SELL,MSFT,132.8125,3929.235236,521851.58,1019070353323
Top-1,2019-08-02,2019-08-02 09:30:00,BUY,MSFT,130.6963,3655.296932,477733.73,1002832588275
Top-1,2019-08-02,2019-08-02 09:30:00,SELL,AAPL,49.3554,9749.667887,481198.96,978298862399
Top-1,2019-08-19,2019-08-19 09:30:00,BUY,AAPL,50.7775,9461.192423,480415.68,1006486575357
Top-1,2019-08-19,2019-08-19 09:30:00,SELL,MSFT,130.8982,3655.296932,478471.94,1004382201152
Top-1,2019-08-27,2019-08-27 09:30:00,BUY,MSFT,129.5172,3595.504882,465679.89,993785830138
Top-1,2019-08-27,2019-08-27 09:30:00,SELL,AAPL,50.1168,9461.192423,474165.05,993391300878
Top-1,2019-09-06,2019-09-06 09:30:00,BUY,AAPL,51.5932,9205.288601,474930.24,1022654906100
Top-1,2019-09-06,2019-09-06 09:30:00,SELL,MSFT,132.9731,3595.504882,478105.55,1020302843976
Top-1,2019-09-30,2019-09-30 09:30:00,BUY,MSFT,131.0894,3791.256079,496993.53,1005849061016
Top-1,2019-09-30,2019-09-30 09:30:00,SELL,AAPL,53.2571,9205.288601,490247.41,983730669660
Top-1,2019-10-02,2019-10-02 09:30:00,BUY,AAPL,53.7731,9014.727069,484750.00,993261371068
Top-1,2019-10-02,2019-10-02 09:30:00,SELL,MSFT,129.3793,3791.256079,490510.12,992727497401
Top-1,2019-10-03,2019-10-03 09:30:00,BUY,MSFT,128.1470,3744.557014,479853.92,983272287962
Top-1,2019-10-03,2019-10-03 09:30:00,SELL,AAPL,52.6515,9014.727069,474639.06,972543876951
Top-1,2019-10-04,2019-10-04 09:30:00,BUY,AAPL,54.3922,9029.538060,491136.10,1004695902184
Top-1,2019-10-04,2019-10-04 09:30:00,SELL,MSFT,129.8590,3744.557014,486264.56,996408380321
Top-1,2020-03-31,2020-03-31 09:30:00,BUY,MSFT,152.2947,3654.037532,556490.43,1168556983172
Top-1,2020-03-31,2020-03-31 09:30:00,SELL,AAPL,61.9499,9029.538060,559379.24,1144297957649
Top-1,2020-04-14,2020-04-14 09:30:00,BUY,AAPL,67.8637,8935.910629,606424.07,1253533433478
Top-1,2020-04-14,2020-04-14 09:30:00,SELL,MSFT,161.4694,3654.037532,590015.36,1238954936788
Top-1,2020-04-17,2020-04-17 09:30:00,BUY,MSFT,171.4999,3571.240317,612467.31,1315918640761
Top-1,2020-04-17,2020-04-17 09:30:00,SELL,AAPL,68.9956,8935.910629,616538.88,1274441662561
