portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,200345069013
Top-1,2010-05-26,2010-05-26 09:30:00,BUY,AAPL,7.5168,13579.547494,102074.28,187952773901
Top-1,2010-05-26,2010-05-26 09:30:00,SELL,MSFT,19.8534,5392.196600,107053.51,177588793902
Top-1,2016-02-02,2016-02-02 09:30:00,BUY,GOOGL,39.7840,7287.439849,289923.34,544890495356
Top-1,2016-02-02,2016-02-02 09:30:00,SELL,AAPL,21.5669,13579.547494,292869.22,496334622359
Top-1,2016-03-04,2016-03-04 09:30:00,BUY,AAPL,23.2546,11372.423952,264461.19,535174060633
Top-1,2016-03-04,2016-03-04 09:30:00,SELL,GOOGL,36.5186,7287.439849,266127.20,500167334667
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,5068.210516,385184.00,740240000000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,11372.423952,389951.40,679663785930
Top-1,2019-03-11,2019-03-11 09:30:00,BUY,AAPL,41.9771,10085.202479,423347.62,832049563941
Top-1,2019-03-11,2019-03-11 09:30:00,SELL,AMZN,81.3100,5068.210516,412096.20,791959400000
Top-1,2019-05-17,2019-05-17 09:30:00,BUY,MSFT,121.4371,3769.582546,457767.34,935066012884
Top-1,2019-05-17,2019-05-17 09:30:00,SELL,AAPL,44.8905,10085.202479,452729.48,889796807082
Top-1,2019-09-11,2019-09-11 09:30:00,BUY,AAPL,52.5694,9268.823346,487256.24,1042004264956
Top-1,2019-09-11,2019-09-11 09:30:00,SELL,MSFT,129.0606,3769.582546,486504.52,990281855729
Top-1,2024-02-02,2024-02-02 09:30:00,BUY,MSFT,399.2733,4283.026489,1710097.91,2972988621944
Top-1,2024-02-02,2024-02-02 09:30:00,SELL,AAPL,178.5535,9268.823346,1654980.95,2811187721406
Top-1,2024-07-10,2024-07-10 09:30:00,BUY,AAPL,228.2371,8682.885966,1981756.36,3593416979263
Top-1,2024-07-10,2024-07-10 09:30:00,SELL,MSFT,457.7083,4283.026489,1960376.76,3401230363354
