portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,199747470000
Top-1,2010-05-26,2010-05-26 09:30:00,BUY,AAPL,7.5168,13579.547494,102074.28,183532831849
Top-1,2010-05-26,2010-05-26 09:30:00,SELL,MSFT,19.8534,5392.196600,107053.51,169328850000
Top-1,2016-02-02,2016-02-02 09:30:00,BUY,GOOGL,39.7840,7287.439849,289923.34,531550683079
Top-1,2016-02-02,2016-02-02 09:30:00,SELL,AAPL,21.5669,13579.547494,292869.22,491342153400
Top-1,2016-03-03,2016-03-03 09:30:00,BUY,AAPL,22.8510,11595.598864,264971.31,530695553040
Top-1,2016-03-03,2016-03-03 09:30:00,SELL,GOOGL,36.7477,7287.439849,267796.32,497994919782
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,5167.670178,392742.93,730597400000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,11595.598864,397603.89,671354475960
Top-1,2019-03-12,2019-03-12 09:30:00,BUY,AAPL,43.0599,10038.932973,432275.61,857874866240
Top-1,2019-03-12,2019-03-12 09:30:00,SELL,AMZN,83.4500,5167.670178,431242.08,814751000000
Top-1,2019-05-20,2019-05-20 09:30:00,BUY,MSFT,119.7439,3686.298524,441411.88,919842000000
Top-1,2019-05-20,2019-05-20 09:30:00,SELL,AAPL,44.0757,10038.932973,442472.74,871551706760
Top-1,2019-09-11,2019-09-11 09:30:00,BUY,AAPL,52.5694,9064.040753,476490.95,1068379281200
Top-1,2019-09-11,2019-09-11 09:30:00,SELL,MSFT,129.0606,3686.298524,475755.84,991811980000
Top-1,2024-02-22,2024-02-22 09:30:00,BUY,MSFT,406.3337,4087.960224,1661076.11,3036329880000
Top-1,2024-02-22,2024-02-22 09:30:00,SELL,AAPL,182.3754,9064.040753,1653057.68,2885287773060
Top-1,2024-07-09,2024-07-09 09:30:00,BUY,AAPL,226.8735,8217.238125,1864273.38,3583701860220
Top-1,2024-07-09,2024-07-09 09:30:00,SELL,MSFT,463.4432,4087.960224,1894537.30,3388833240000
Top-1,2024-11-06,2024-11-06 09:30:00,BUY,NVDA,142.9305,12759.580655,1823733.83,3594370200000
Top-1,2024-11-06,2024-11-06 09:30:00,SELL,AAPL,221.8304,8217.238125,1822833.10,3405399199020
Top-1,2024-11-25,2024-11-25 09:30:00,BUY,AAPL,230.9034,7514.724525,1735175.37,3564514228730
Top-1,2024-11-25,2024-11-25 09:30:00,SELL,NVDA,141.9587,12759.580655,1811333.27,3357593100000
Top-1,2025-01-22,2025-01-22 09:30:00,BUY,NVDA,144.6403,11600.933609,1677962.84,3630664500000
Top-1,2025-01-22,2025-01-22 09:30:00,SELL,AAPL,219.2597,7514.724525,1647676.60,3426113306070
Top-1,2025-01-27,2025-01-27 09:30:00,BUY,AAPL,223.4840,6146.080707,1373550.54,3518482879730
Top-1,2025-01-27,2025-01-27 09:30:00,SELL,NVDA,124.7789,11600.933609,1447552.00,2907312000000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,539.219660,10000.00,199747470000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,JNJ,35.2605,283.603715,10000.00,103913181000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,AIG,687.6288,14.542729,10000.00,89503070000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,CSCO,12.7054,787.065403,10000.00,86457600000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,INTC,13.6638,731.860054,10000.00,85376000000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,PFE,11.1119,899.932658,10000.00,81033560000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,AMGN,44.3947,225.252217,10000.00,56495950000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,ORCL,11.1521,896.693668,10000.00,56269850000
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,GOOGL,4.9108,2036.340852,10000.00,55067298723
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,GOOG,4.9005,2040.601917,10000.00,54958038210
