portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,199747470000
Top-1,2010-05-24,2010-05-24 09:30:00,BUY,AAPL,7.4368,14414.294730,107196.87,185533189690
Top-1,2010-05-24,2010-05-24 09:30:00,SELL,MSFT,20.3189,5392.196600,109563.61,177826600000
Top-1,2016-01-28,2016-01-28 09:30:00,BUY,GOOGL,36.6831,8353.918185,306447.91,509362790613
Top-1,2016-01-28,2016-01-28 09:30:00,SELL,AAPL,21.1967,14414.294730,305535.86,489270921840
Top-1,2016-02-04,2016-02-04 09:30:00,BUY,AAPL,21.7765,13917.780211,303080.15,504920226960
Top-1,2016-02-04,2016-02-04 09:30:00,SELL,GOOGL,37.0056,8353.918185,309141.75,496899221389
Top-1,2016-05-06,2016-05-06 09:30:00,BUY,GOOGL,35.3939,8332.435765,294917.76,493612126209
Top-1,2016-05-06,2016-05-06 09:30:00,SELL,AAPL,21.3363,13917.780211,296953.43,487659963960
Top-1,2016-05-18,2016-05-18 09:30:00,BUY,AAPL,21.5186,13889.595490,298884.47,497325711240
Top-1,2016-05-18,2016-05-18 09:30:00,SELL,GOOGL,35.7010,8332.435765,297476.59,491283767123
Top-1,2016-07-26,2016-07-26 09:30:00,BUY,GOOGL,37.6600,8147.136600,306821.16,515800018674
Top-1,2016-07-26,2016-07-26 09:30:00,SELL,AAPL,22.1266,13889.595490,307328.94,508372279560
Top-1,2016-07-27,2016-07-27 09:30:00,BUY,AAPL,23.8317,12946.306583,308532.06,541511984520
Top-1,2016-07-27,2016-07-27 09:30:00,SELL,GOOGL,37.7209,8147.136600,307317.37,518676226957
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,5769.623736,438491.40,730597400000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,12946.306583,443918.58,671354475960
Top-1,2019-02-04,2019-02-04 09:30:00,BUY,AAPL,39.8753,11816.969308,471205.17,808519311320
Top-1,2019-02-04,2019-02-04 09:30:00,SELL,AMZN,81.1500,5769.623736,468204.97,795465800000
Top-1,2019-05-13,2019-05-13 09:30:00,BUY,MSFT,117.0266,4503.563480,527036.83,895587000000
Top-1,2019-05-13,2019-05-13 09:30:00,SELL,AAPL,45.0803,11816.969308,532712.44,884039256800
Top-1,2019-07-31,2019-07-31 09:30:00,BUY,AAPL,51.9765,11174.756818,580824.58,1014068349280
Top-1,2019-07-31,2019-07-31 09:30:00,SELL,MSFT,132.8125,4503.563480,598129.55,989586810000
Top-1,2019-08-01,2019-08-01 09:30:00,BUY,MSFT,129.6667,4313.338815,559296.58,1002630910000
Top-1,2019-08-01,2019-08-01 09:30:00,SELL,AAPL,51.3658,11174.756818,574000.79,992066475400
Top-1,2019-08-22,2019-08-22 09:30:00,BUY,AAPL,51.3936,10980.249237,564314.12,1015257639760
Top-1,2019-08-22,2019-08-22 09:30:00,SELL,MSFT,131.6656,4313.338815,567918.39,1003858590000
Top-1,2019-08-27,2019-08-27 09:30:00,BUY,MSFT,129.5172,4172.786893,540447.87,989049700000
Top-1,2019-08-27,2019-08-27 09:30:00,SELL,AAPL,50.1168,10980.249237,550295.37,975614623760
Top-1,2019-09-09,2019-09-09 09:30:00,BUY,AAPL,51.7939,10521.004756,544924.24,1023384458040
Top-1,2019-09-09,2019-09-09 09:30:00,SELL,MSFT,132.5557,4172.786893,553126.63,1002017070000
Top-1,2019-09-30,2019-09-30 09:30:00,BUY,MSFT,131.0894,4333.142064,568029.05,1012989460000
Top-1,2019-09-30,2019-09-30 09:30:00,SELL,AAPL,53.2571,10521.004756,560318.70,997267430640
Top-1,2019-10-07,2019-10-07 09:30:00,BUY,AAPL,54.5472,10343.682683,564218.43,1011120932640
Top-1,2019-10-07,2019-10-07 09:30:00,SELL,MSFT,130.2290,4333.142064,564300.72,999101330000
Top-1,2020-03-30,2020-03-30 09:30:00,BUY,MSFT,145.6471,4386.120369,638825.84,1174659570000
Top-1,2020-03-30,2020-03-30 09:30:00,SELL,AAPL,60.7808,10343.682683,628696.89,1140789711360
